date,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million
2022-04-27,1972.839,1573.714,2.016
2022-04-28,1620.12,1529.021,0.892
2022-04-29,1480.211,1534.355,1.9
2022-05-02,1468.927,1514.806,2.559
2022-05-03,1641.215,1528.184,1.745
2022-05-04,2259.094,1569.078,2.637
2022-05-05,1582.544,1563.71,1.163
2022-05-06,1397.344,1551.872,1.629
2022-05-09,1862.595,1688.058,1.667
2022-05-10,2212.406,1769.656,2.21
