iso_code,continent,location,date,new_cases_per_million,new_cases_per_million_j,new_cases_per_million_uk,new_cases_j,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,iso_code_uk,continent_uk,location_uk,total_cases_uk,new_cases_uk,new_cases_smoothed_uk,total_deaths_uk,new_deaths_uk,new_deaths_smoothed_uk,total_cases_per_million_uk,new_cases_per_million_uk,new_cases_smoothed_per_million_uk,total_deaths_per_million_uk,new_deaths_per_million_uk,new_deaths_smoothed_per_million_uk,iso_code_j,continent_j,location_j,total_cases_j,new_cases_j,new_cases_smoothed_j,total_deaths_j,new_deaths_j,new_deaths_smoothed_j,total_cases_per_million_j,new_cases_smoothed_per_million_j,total_deaths_per_million_j,new_deaths_per_million_j,new_deaths_smoothed_per_million_j
AUS,Oceania,Australia,2020-03-11,0.814,0.436,6.026,55,128,21,10.857,3,0,0.143,4.964,0.421,0.116,0,0.006,GBR,Europe,United Kingdom,1298,411,150.429,7,0,1,19.03,6.026,2.205,0.103,0,0.015,JPN,Asia,Japan,640,55,43.857,15,2,1.143,5.077,0.348,0.119,0.016,0.009
AUS,Oceania,Australia,2020-03-13,2.792,0.294,7.023,37,200,72,20,3,0,0.143,7.755,0.776,0.116,0,0.006,GBR,Europe,United Kingdom,2266,479,270.429,10,1,1.286,33.222,7.023,3.965,0.147,0.015,0.019,JPN,Asia,Japan,733,37,44.714,21,2,2,5.815,0.355,0.167,0.016,0.016
AUS,Oceania,Australia,2020-03-14,1.939,0.492,5.337,62,250,50,26.714,3,0,0.143,9.694,1.036,0.116,0,0.006,GBR,Europe,United Kingdom,2630,364,314.571,29,19,3.857,38.559,5.337,4.612,0.425,0.279,0.057,JPN,Asia,Japan,795,62,47,22,1,2.143,6.307,0.373,0.175,0.008,0.017
AUS,Oceania,Australia,2020-03-15,1.823,0.246,6.48,31,297,47,31.571,3,0,0,11.517,1.224,0.116,0,0,GBR,Europe,United Kingdom,3072,442,370,43,14,5.857,45.039,6.48,5.425,0.63,0.205,0.086,JPN,Asia,Japan,826,31,46.714,24,2,2.286,6.553,0.371,0.19,0.016,0.018
AUS,Oceania,Australia,2020-03-16,3.102,0.135,8.973,17,377,80,40.857,3,0,0,14.619,1.584,0.116,0,0,GBR,Europe,United Kingdom,3684,612,436.429,65,22,8.857,54.012,8.973,6.399,0.953,0.323,0.13,JPN,Asia,Japan,843,17,45.143,30,6,2.857,6.688,0.358,0.238,0.048,0.023
AUS,Oceania,Australia,2020-03-17,2.908,0.397,11.26,50,452,75,49.286,5,2,0.286,17.527,1.911,0.194,0.078,0.011,GBR,Europe,United Kingdom,4452,768,509.286,82,17,10.714,65.272,11.26,7.467,1.202,0.249,0.157,JPN,Asia,Japan,893,50,44,30,0,2.429,7.084,0.349,0.238,0,0.019
AUS,Oceania,Australia,2020-03-18,4.498,0.278,14.647,35,568,116,62.857,6,1,0.429,22.026,2.437,0.233,0.039,0.017,GBR,Europe,United Kingdom,5451,999,593.286,116,34,15.571,79.918,14.647,8.698,1.701,0.498,0.228,JPN,Asia,Japan,928,35,41.143,32,2,2.429,7.362,0.326,0.254,0.016,0.019
AUS,Oceania,Australia,2020-03-19,4.382,0.317,15.468,40,681,113,79,6,0,0.429,26.407,3.063,0.233,0,0.017,GBR,Europe,United Kingdom,6506,1055,674.143,162,46,21.857,95.386,15.468,9.884,2.375,0.674,0.32,JPN,Asia,Japan,968,40,38.857,33,1,2,7.679,0.308,0.262,0.008,0.016
AUS,Oceania,Australia,2020-03-20,4.266,0.428,18.385,54,791,110,84.429,7,1,0.571,30.673,3.274,0.271,0.039,0.022,GBR,Europe,United Kingdom,7760,1254,784.857,194,32,26.286,113.771,18.385,11.507,2.844,0.469,0.385,JPN,Asia,Japan,1022,54,41.286,34,1,1.857,8.108,0.328,0.27,0.008,0.015
AUS,Oceania,Australia,2020-03-21,10.858,0.294,17.549,37,1071,280,117.286,7,0,0.571,41.531,4.548,0.271,0,0.022,GBR,Europe,United Kingdom,8957,1197,903.857,252,58,31.857,131.321,17.549,13.252,3.695,0.85,0.467,JPN,Asia,Japan,1059,37,37.714,36,2,2,8.401,0.299,0.286,0.016,0.016
AUS,Oceania,Australia,2020-03-22,18.536,0.357,20.687,45,1549,478,178.857,7,0,0.571,60.066,6.936,0.271,0,0.022,GBR,Europe,United Kingdom,10368,1411,1042.286,288,36,35,152.008,20.687,15.281,4.222,0.528,0.513,JPN,Asia,Japan,1104,45,39.714,40,4,2.286,8.758,0.315,0.317,0.032,0.018
AUS,Oceania,Australia,2020-03-23,5.157,0.317,34.293,40,1682,133,186.429,7,0,0.571,65.224,7.229,0.271,0,0.022,GBR,Europe,United Kingdom,12707,2339,1289,364,76,42.714,186.3,34.293,18.898,5.337,1.114,0.626,JPN,Asia,Japan,1144,40,43,41,1,1.571,9.076,0.341,0.325,0.008,0.012
AUS,Oceania,Australia,2020-03-24,14.037,0.579,34.908,73,2044,362,227.429,8,1,0.429,79.261,8.819,0.31,0.039,0.017,GBR,Europe,United Kingdom,15088,2381,1519.429,512,148,61.429,221.209,34.908,22.277,7.507,2.17,0.901,JPN,Asia,Japan,1217,73,46.286,42,1,1.714,9.655,0.367,0.333,0.008,0.014
AUS,Oceania,Australia,2020-03-25,12.409,0.77,39.497,97,2364,320,256.571,8,0,0.286,91.67,9.949,0.31,0,0.011,GBR,Europe,United Kingdom,17782,2694,1761.571,703,191,83.857,260.706,39.497,25.827,10.307,2.8,1.229,JPN,Asia,Japan,1314,97,55.143,45,3,1.857,10.424,0.437,0.357,0.024,0.015
AUS,Oceania,Australia,2020-03-26,17.295,0.809,45.274,102,2810,446,304.143,13,5,1,108.964,11.794,0.504,0.194,0.039,GBR,Europe,United Kingdom,20870,3088,2052,884,181,103.143,305.98,45.274,30.085,12.961,2.654,1.512,JPN,Asia,Japan,1416,102,64,47,2,2,11.234,0.508,0.373,0.016,0.016
AUS,Oceania,Australia,2020-03-27,12.913,0.904,47.194,114,3143,333,336,13,0,0.857,121.877,13.029,0.504,0,0.033,GBR,Europe,United Kingdom,24089,3219,2332.714,1173,289,139.857,353.174,47.194,34.2,17.198,4.237,2.05,JPN,Asia,Japan,1530,114,72.571,53,6,2.714,12.138,0.576,0.42,0.048,0.022
AUS,Oceania,Australia,2020-03-28,19.272,1.571,41.638,198,3640,497,367,14,1,1,141.15,14.231,0.543,0.039,0.039,GBR,Europe,United Kingdom,26929,2840,2567.429,1465,292,173.286,394.812,41.638,37.642,21.479,4.281,2.541,JPN,Asia,Japan,1728,198,95.571,56,3,2.857,13.709,0.758,0.444,0.024,0.023
AUS,Oceania,Australia,2020-03-29,13.339,1.42,42.078,179,3984,344,347.857,16,2,1.286,154.489,13.489,0.62,0.078,0.05,GBR,Europe,United Kingdom,29799,2870,2775.857,1677,212,198.429,436.89,42.078,40.697,24.587,3.108,2.909,JPN,Asia,Japan,1907,179,114.714,63,7,3.286,15.129,0.91,0.5,0.056,0.026
AUS,Oceania,Australia,2020-03-30,14.619,0.746,62.765,94,4361,377,382.714,17,1,1.429,169.108,14.841,0.659,0.039,0.055,GBR,Europe,United Kingdom,34080,4281,3053.286,2053,376,241.286,499.655,62.765,44.765,30.099,5.513,3.538,JPN,Asia,Japan,2001,94,122.429,65,2,3.429,15.875,0.971,0.516,0.016,0.027
AUS,Oceania,Australia,2020-03-31,7.678,2.015,66.239,254,4559,198,359.286,18,1,1.429,176.786,13.932,0.698,0.039,0.055,GBR,Europe,United Kingdom,38598,4518,3358.571,2456,403,277.714,565.894,66.239,49.241,36.008,5.908,4.072,JPN,Asia,Japan,2255,254,148.286,67,2,3.571,17.89,1.176,0.532,0.016,0.028
AUS,Oceania,Australia,2020-04-01,11.75,2.221,72.397,280,4862,303,356.857,20,2,1.714,188.536,13.838,0.776,0.078,0.066,GBR,Europe,United Kingdom,43536,4938,3679.143,3128,672,346.429,638.291,72.397,53.941,45.86,9.852,5.079,JPN,Asia,Japan,2535,280,174.429,72,5,3.857,20.111,1.384,0.571,0.04,0.031
AUS,Oceania,Australia,2020-04-02,9.849,2.245,71.781,283,5116,254,329.429,24,4,1.571,198.385,12.774,0.931,0.155,0.061,GBR,Europe,United Kingdom,48432,4896,3937.429,3785,657,414.429,710.073,71.781,57.728,55.493,9.632,6.076,JPN,Asia,Japan,2818,283,200.286,75,3,4,22.356,1.589,0.595,0.024,0.032
AUS,Oceania,Australia,2020-04-03,8.298,2.666,72.192,336,5330,214,312.429,28,4,2.143,206.684,12.115,1.086,0.155,0.083,GBR,Europe,United Kingdom,53356,4924,4181,4522,737,478.429,782.264,72.192,61.299,66.298,10.805,7.014,JPN,Asia,Japan,3154,336,232,81,6,4,25.022,1.841,0.643,0.048,0.032
AUS,Oceania,Australia,2020-04-04,8.531,2.943,59.686,371,5550,220,272.857,30,2,2.286,215.215,10.581,1.163,0.078,0.089,GBR,Europe,United Kingdom,57427,4071,4356.857,5279,757,544.857,841.95,59.686,63.877,77.397,11.099,7.988,JPN,Asia,Japan,3525,371,256.714,87,6,4.429,27.965,2.037,0.69,0.048,0.035
AUS,Oceania,Australia,2020-04-05,5.313,2.785,52.942,351,5687,137,243.286,35,5,2.714,220.527,9.434,1.357,0.194,0.105,GBR,Europe,United Kingdom,61038,3611,4462.714,5880,601,600.429,894.892,52.942,65.429,86.208,8.811,8.803,JPN,Asia,Japan,3876,351,281.286,93,6,4.286,30.75,2.232,0.738,0.048,0.034
AUS,Oceania,Australia,2020-04-06,4.266,1.856,78.13,234,5797,110,205.143,40,5,3.286,224.793,7.955,1.551,0.194,0.127,GBR,Europe,United Kingdom,66367,5329,4612.429,6447,567,627.714,973.022,78.13,67.624,94.521,8.313,9.203,JPN,Asia,Japan,4110,234,301.286,96,3,4.429,32.606,2.39,0.762,0.024,0.035
AUS,Oceania,Australia,2020-04-07,3.8,2.975,80.05,375,5895,98,190.857,45,5,3.857,228.593,7.401,1.745,0.194,0.15,GBR,Europe,United Kingdom,71827,5460,4747,7554,1107,728.286,1053.072,80.05,69.597,110.751,16.23,10.678,JPN,Asia,Japan,4485,375,318.571,98,2,4.429,35.581,2.527,0.777,0.016,0.035
AUS,Oceania,Australia,2020-04-08,4.459,4.244,75.535,535,6010,115,164,50,5,4.286,233.052,6.359,1.939,0.194,0.166,GBR,Europe,United Kingdom,76979,5152,4777.571,8584,1030,779.429,1128.607,75.535,70.045,125.852,15.101,11.427,JPN,Asia,Japan,5020,535,355,105,7,4.714,39.825,2.816,0.833,0.056,0.037
AUS,Oceania,Australia,2020-04-09,3.8,4.712,71.371,594,6108,98,141.714,51,1,3.857,236.852,5.495,1.978,0.039,0.15,GBR,Europe,United Kingdom,81847,4868,4773.571,9702,1118,845.286,1199.977,71.371,69.986,142.243,16.391,12.393,JPN,Asia,Japan,5614,594,399.429,113,8,5.429,44.538,3.169,0.896,0.063,0.043
AUS,Oceania,Australia,2020-04-10,4.149,5.046,63.395,636,6215,107,126.429,54,3,3.714,241.002,4.903,2.094,0.116,0.144,GBR,Europe,United Kingdom,86171,4324,4687.857,10825,1123,900.429,1263.373,63.395,68.73,158.708,16.465,13.201,JPN,Asia,Japan,6250,636,442.286,125,12,6.286,49.583,3.509,0.992,0.095,0.05
AUS,Oceania,Australia,2020-04-11,3.412,5.561,52.795,701,6303,88,107.571,57,3,3.857,244.414,4.171,2.21,0.116,0.15,GBR,Europe,United Kingdom,89772,3601,4620.714,11669,844,912.857,1316.168,52.795,67.745,171.082,12.374,13.384,JPN,Asia,Japan,6951,701,489.429,138,13,7.286,55.144,3.883,1.095,0.103,0.058
AUS,Oceania,Australia,2020-04-12,0.465,4.141,51.549,522,6315,12,89.714,60,3,3.571,244.879,3.479,2.327,0.116,0.138,GBR,Europe,United Kingdom,93288,3516,4607.143,12326,657,920.857,1367.717,51.549,67.546,180.714,9.632,13.501,JPN,Asia,Japan,7473,522,513.857,147,9,7.714,59.286,4.077,1.166,0.071,0.061
AUS,Oceania,Australia,2020-04-13,1.396,2.38,61.46,300,6351,36,79.143,61,1,3,246.275,3.069,2.365,0.039,0.116,GBR,Europe,United Kingdom,97480,4192,4444.714,13051,725,943.429,1429.176,61.46,65.165,191.344,10.629,13.832,JPN,Asia,Japan,7773,300,523.286,156,9,8.571,61.666,4.151,1.238,0.071,0.068
AUS,Oceania,Australia,2020-04-14,2.482,3.998,63.63,504,6415,64,74.286,62,1,2.429,248.757,2.881,2.404,0.039,0.094,GBR,Europe,United Kingdom,101820,4340,4284.714,14128,1077,939.143,1492.806,63.63,62.819,207.134,15.79,13.769,JPN,Asia,Japan,8277,504,541.714,170,14,10.286,65.664,4.298,1.349,0.111,0.082
AUS,Oceania,Australia,2020-04-15,0.969,4.427,74.391,558,6440,25,61.429,63,1,1.857,249.726,2.382,2.443,0.039,0.072,GBR,Europe,United Kingdom,106894,5074,4273.571,15008,880,917.714,1567.197,74.391,62.656,220.036,12.902,13.455,JPN,Asia,Japan,8835,558,545,186,16,11.571,70.091,4.324,1.476,0.127,0.092
AUS,Oceania,Australia,2020-04-16,0.853,4.466,77.748,563,6462,22,50.571,63,0,1.714,250.58,1.961,2.443,0,0.066,GBR,Europe,United Kingdom,112197,5303,4335.714,16048,1040,906.571,1644.946,77.748,63.567,235.283,15.248,13.291,JPN,Asia,Japan,9398,563,540.571,204,18,13,74.557,4.289,1.618,0.143,0.103
AUS,Oceania,Australia,2020-04-17,2.327,4.443,72.91,560,6522,60,43.857,66,3,1.714,252.906,1.701,2.559,0.116,0.066,GBR,Europe,United Kingdom,117170,4973,4428.429,16962,914,876.714,1717.856,72.91,64.926,248.684,13.4,12.854,JPN,Asia,Japan,9958,560,529.714,217,13,13.143,79,4.202,1.722,0.103,0.104
AUS,Oceania,Australia,2020-04-18,1.784,4.681,69.274,590,6568,46,37.857,67,1,1.429,254.69,1.468,2.598,0.039,0.055,GBR,Europe,United Kingdom,121895,4725,4589,18070,1108,914.429,1787.13,69.274,67.28,264.928,16.245,13.407,JPN,Asia,Japan,10548,590,513.857,236,19,14,83.681,4.077,1.872,0.151,0.111
AUS,Oceania,Australia,2020-04-19,1.629,2.904,56.636,366,6610,42,42.143,67,0,1,256.319,1.634,2.598,0,0.039,GBR,Europe,United Kingdom,125758,3863,4638.571,18503,433,882.429,1843.767,56.636,68.007,271.277,6.348,12.937,JPN,Asia,Japan,10914,366,491.571,255,19,15.429,86.584,3.9,2.023,0.151,0.122
AUS,Oceania,Australia,2020-04-20,0.504,2.729,71.386,344,6623,13,38.857,67,0,0.857,256.823,1.507,2.598,0,0.033,GBR,Europe,United Kingdom,130627,4869,4735.286,19074,571,860.429,1915.152,71.386,69.425,279.648,8.372,12.615,JPN,Asia,Japan,11258,344,497.857,275,20,17,89.313,3.95,2.182,0.159,0.135
AUS,Oceania,Australia,2020-04-21,0.853,3.038,69.846,383,6645,22,32.857,67,0,0.714,257.676,1.274,2.598,0,0.028,GBR,Europe,United Kingdom,135391,4764,4795.857,20298,1224,881.429,1984.998,69.846,70.313,297.594,17.945,12.923,JPN,Asia,Japan,11641,383,480.571,303,28,19,92.352,3.813,2.404,0.222,0.151
AUS,Oceania,Australia,2020-04-22,0.271,3.142,80.534,396,6652,7,30.286,67,0,0.571,257.947,1.174,2.598,0,0.022,GBR,Europe,United Kingdom,140884,5493,4855.714,21148,850,877.143,2065.532,80.534,71.191,310.056,12.462,12.86,JPN,Asia,Japan,12037,396,457.429,323,20,19.571,95.493,3.629,2.562,0.159,0.155
AUS,Oceania,Australia,2020-04-23,0.388,3.427,75.52,432,6662,10,28.571,75,8,1.714,258.335,1.108,2.908,0.31,0.066,GBR,Europe,United Kingdom,146035,5151,4834,21830,682,826,2141.052,75.52,70.872,320.055,9.999,12.11,JPN,Asia,Japan,12469,432,438.714,351,28,21,98.92,3.48,2.785,0.222,0.167
AUS,Oceania,Australia,2020-04-24,0.582,3.054,72.925,385,6677,15,22.143,79,4,1.857,258.917,0.859,3.063,0.155,0.072,GBR,Europe,United Kingdom,151009,4974,4834.143,22845,1015,840.429,2213.977,72.925,70.874,334.936,14.881,12.322,JPN,Asia,Japan,12854,385,413.714,360,9,20.429,101.975,3.282,2.856,0.071,0.162
AUS,Oceania,Australia,2020-04-25,0.659,2.634,55.258,332,6694,17,18,80,1,1.857,259.576,0.698,3.102,0.039,0.072,GBR,Europe,United Kingdom,154778,3769,4697.571,23662,817,798.857,2269.235,55.258,68.872,346.914,11.978,11.712,JPN,Asia,Japan,13186,332,376.857,379,19,20.429,104.609,2.99,3.007,0.151,0.162
AUS,Oceania,Australia,2020-04-26,0.776,1.737,50.874,219,6714,20,14.857,83,3,2.286,260.351,0.576,3.219,0.116,0.089,GBR,Europe,United Kingdom,158248,3470,4641.429,24026,364,789,2320.11,50.874,68.049,352.251,5.337,11.568,JPN,Asia,Japan,13405,219,355.857,395,16,20,106.346,2.823,3.134,0.127,0.159
AUS,Oceania,Australia,2020-04-27,0.271,1.357,68.981,171,6721,7,14,83,0,2.286,260.623,0.543,3.219,0,0.089,GBR,Europe,United Kingdom,162953,4705,4618,24346,320,753.143,2389.091,68.981,67.706,356.942,4.692,11.042,JPN,Asia,Japan,13576,171,331.143,417,22,20.286,107.703,2.627,3.308,0.175,0.161
AUS,Oceania,Australia,2020-04-28,0.892,2.253,69.245,284,6744,23,14.143,89,6,3.143,261.515,0.548,3.451,0.233,0.122,GBR,Europe,United Kingdom,167676,4723,4612.143,25315,969,716.714,2458.336,69.245,67.62,371.149,14.207,10.508,JPN,Asia,Japan,13860,284,317,436,19,19,109.956,2.515,3.459,0.151,0.151
AUS,Oceania,Australia,2020-04-29,0.31,1.714,79.713,216,6752,8,14.286,91,2,3.429,261.825,0.554,3.529,0.078,0.133,GBR,Europe,United Kingdom,173113,5437,4604.143,26084,769,705.143,2538.049,79.713,67.502,382.423,11.274,10.338,JPN,Asia,Japan,14076,216,291.286,454,18,18.714,111.669,2.311,3.602,0.143,0.148
AUS,Oceania,Australia,2020-04-30,0.543,1.65,72.734,208,6766,14,14.857,93,2,2.571,262.368,0.576,3.606,0.078,0.1,GBR,Europe,United Kingdom,178074,4961,4577,26719,635,698.429,2610.783,72.734,67.104,391.733,9.31,10.24,JPN,Asia,Japan,14284,208,259.286,481,27,18.571,113.319,2.057,3.816,0.214,0.147
AUS,Oceania,Australia,2020-05-01,0.465,2.174,69.392,274,6778,12,14.429,93,0,2,262.833,0.56,3.606,0,0.078,GBR,Europe,United Kingdom,182807,4733,4542.571,27417,698,653.143,2680.175,69.392,66.6,401.967,10.234,9.576,JPN,Asia,Japan,14558,274,243.429,510,29,21.429,115.493,1.931,4.046,0.23,0.17
AUS,Oceania,Australia,2020-05-02,0.814,2.404,47.238,303,6799,21,15,94,1,2,263.648,0.582,3.645,0.039,0.078,GBR,Europe,United Kingdom,186029,3222,4464.429,28003,586,620.143,2727.413,47.238,65.454,410.558,8.591,9.092,JPN,Asia,Japan,14861,303,239.286,536,26,22.429,117.897,1.898,4.252,0.206,0.178
AUS,Oceania,Australia,2020-05-03,0.892,1.587,43.602,200,6822,23,15.429,95,1,1.714,264.539,0.598,3.684,0.039,0.066,GBR,Europe,United Kingdom,189003,2974,4393.571,28257,254,604.429,2771.016,43.602,64.415,414.282,3.724,8.862,JPN,Asia,Japan,15061,200,236.571,560,24,23.571,119.484,1.877,4.443,0.19,0.187
AUS,Oceania,Australia,2020-05-04,0.969,1.333,49.54,168,6847,25,18,96,1,1.857,265.509,0.698,3.723,0.039,0.072,GBR,Europe,United Kingdom,192382,3379,4204.143,28530,273,597.714,2820.556,49.54,61.638,418.285,4.003,8.763,JPN,Asia,Japan,15229,168,236.143,582,22,23.571,120.816,1.873,4.617,0.175,0.187
AUS,Oceania,Australia,2020-05-05,1.086,0.992,54.027,125,6875,28,18.714,97,1,1.143,266.595,0.726,3.761,0.039,0.044,GBR,Europe,United Kingdom,196067,3685,4055.857,29256,726,563,2874.583,54.027,59.464,428.929,10.644,8.254,JPN,Asia,Japan,15354,125,213.429,593,11,22.429,121.808,1.693,4.704,0.087,0.178
AUS,Oceania,Australia,2020-05-06,0.737,0.801,56.182,101,6894,19,20.286,97,0,0.857,267.331,0.787,3.761,0,0.033,GBR,Europe,United Kingdom,199899,3832,3826.571,29903,647,545.571,2930.765,56.182,56.102,438.415,9.486,7.999,JPN,Asia,Japan,15455,101,197,605,12,21.571,122.609,1.563,4.8,0.095,0.171
AUS,Oceania,Australia,2020-05-07,0.737,0.777,55.229,98,6913,19,21,97,0,0.571,268.068,0.814,3.761,0,0.022,GBR,Europe,United Kingdom,203666,3767,3656,30361,458,520.286,2985.994,55.229,53.601,445.13,6.715,7.628,JPN,Asia,Japan,15553,98,181.286,617,12,19.429,123.387,1.438,4.895,0.095,0.154
AUS,Oceania,Australia,2020-05-08,0.194,0.69,44.702,87,6918,5,20,97,0,0.571,268.262,0.776,3.761,0,0.022,GBR,Europe,United Kingdom,206715,3049,3415.429,30941,580,503.429,3030.696,44.702,50.074,453.633,8.504,7.381,JPN,Asia,Japan,15640,87,154.571,634,17,17.714,124.077,1.226,5.03,0.135,0.141
AUS,Oceania,Australia,2020-05-09,0.814,0.912,31.522,115,6939,21,20,97,0,0.429,269.076,0.776,3.761,0,0.017,GBR,Europe,United Kingdom,208865,2150,3262.286,31216,275,459,3062.217,31.522,47.829,457.665,4.032,6.73,JPN,Asia,Japan,15755,115,127.714,654,20,16.857,124.989,1.013,5.188,0.159,0.134
AUS,Oceania,Australia,2020-05-10,0.349,0.547,34.029,69,6948,9,18,97,0,0.286,269.425,0.698,3.761,0,0.011,GBR,Europe,United Kingdom,211186,2321,3169,31433,217,453.714,3096.246,34.029,46.461,460.846,3.181,6.652,JPN,Asia,Japan,15824,69,109,666,12,15.143,125.537,0.865,5.284,0.095,0.12
AUS,Oceania,Australia,2020-05-11,0.853,0.294,52.531,37,6970,22,17.571,97,0,0.143,270.278,0.681,3.761,0,0.006,GBR,Europe,United Kingdom,214769,3583,3198.143,31620,187,441.429,3148.777,52.531,46.889,463.588,2.742,6.472,JPN,Asia,Japan,15861,37,90.286,685,19,14.714,125.83,0.716,5.434,0.151,0.117
AUS,Oceania,Australia,2020-05-12,0.388,0.69,49.731,87,6980,10,15,98,1,0.143,270.666,0.582,3.8,0.039,0.006,GBR,Europe,United Kingdom,218161,3392,3156.286,32235,615,425.571,3198.508,49.731,46.275,472.605,9.017,6.239,JPN,Asia,Japan,15948,87,84.857,707,22,16.286,126.52,0.673,5.609,0.175,0.129
AUS,Oceania,Australia,2020-05-13,0.349,0.397,48.353,50,6989,9,13.571,98,0,0.143,271.015,0.526,3.8,0,0.006,GBR,Europe,United Kingdom,221459,3298,3080,32682,447,397,3246.861,48.353,45.157,479.158,6.554,5.821,JPN,Asia,Japan,15998,50,77.571,726,19,17.286,126.917,0.615,5.76,0.151,0.137
AUS,Oceania,Australia,2020-05-14,1.163,0.777,38.266,98,7019,30,15.143,98,0,0.143,272.179,0.587,3.8,0,0.006,GBR,Europe,United Kingdom,224069,2610,2914.714,33035,353,382,3285.127,38.266,42.733,484.334,5.175,5.601,JPN,Asia,Japan,16096,98,77.571,742,16,17.857,127.695,0.615,5.887,0.127,0.142
AUS,Oceania,Australia,2020-05-15,0.62,0.413,36.902,52,7035,16,16.714,98,0,0.143,272.799,0.648,3.8,0,0.006,GBR,Europe,United Kingdom,226586,2517,2838.714,33385,350,349.143,3322.029,36.902,41.619,489.465,5.131,5.119,JPN,Asia,Japan,16148,52,72.571,760,18,18,128.107,0.576,6.029,0.143,0.143
AUS,Oceania,Australia,2020-05-16,0.349,0.428,30.275,54,7044,9,15,98,0,0.143,273.148,0.582,3.8,0,0.006,GBR,Europe,United Kingdom,228651,2065,2826.571,33796,411,368.571,3352.304,30.275,41.441,495.491,6.026,5.404,JPN,Asia,Japan,16202,54,63.857,778,18,17.714,128.535,0.507,6.172,0.143,0.141
AUS,Oceania,Australia,2020-05-17,0.388,0.19,26.771,24,7054,10,15.143,99,1,0.286,273.536,0.587,3.839,0.039,0.011,GBR,Europe,United Kingdom,230477,1826,2755.857,33863,67,347.143,3379.076,26.771,40.404,496.473,0.982,5.09,JPN,Asia,Japan,16226,24,57.429,787,9,17.286,128.726,0.456,6.244,0.071,0.137
AUS,Oceania,Australia,2020-05-18,0.543,0.262,37.738,33,7068,14,14,99,0,0.286,274.079,0.543,3.839,0,0.011,GBR,Europe,United Kingdom,233051,2574,2611.714,34009,146,341.286,3416.814,37.738,38.291,498.614,2.141,5.004,JPN,Asia,Japan,16259,33,56.857,796,9,15.857,128.988,0.451,6.315,0.071,0.126
AUS,Oceania,Australia,2020-05-19,0.155,0.222,44.658,28,7072,4,13.143,100,1,0.286,274.234,0.51,3.878,0.039,0.011,GBR,Europe,United Kingdom,236097,3046,2562.286,34509,500,324.857,3461.472,44.658,37.566,505.944,7.331,4.763,JPN,Asia,Japan,16287,28,48.429,805,9,14,129.21,0.384,6.386,0.071,0.111
AUS,Oceania,Australia,2020-05-20,0.349,0.27,39.688,34,7081,9,13.143,100,0,0.286,274.583,0.51,3.878,0,0.011,GBR,Europe,United Kingdom,238804,2707,2477.857,34837,328,307.857,3501.16,39.688,36.328,510.753,4.809,4.514,JPN,Asia,Japan,16321,34,46.143,818,13,13.143,129.48,0.366,6.489,0.103,0.104
AUS,Oceania,Australia,2020-05-21,0.543,0.325,37.269,41,7095,14,10.857,101,1,0.429,275.126,0.421,3.917,0.039,0.017,GBR,Europe,United Kingdom,241346,2542,2468.143,35111,274,296.571,3538.429,37.269,36.186,514.77,4.017,4.348,JPN,Asia,Japan,16362,41,38,826,8,12,129.805,0.301,6.553,0.063,0.095
AUS,Oceania,Australia,2020-05-22,0.155,0.182,29.806,23,7099,4,9.143,101,0,0.429,275.281,0.355,3.917,0,0.017,GBR,Europe,United Kingdom,243379,2033,2399,35403,292,288.286,3568.235,29.806,35.172,519.051,4.281,4.227,JPN,Asia,Japan,16385,23,33.857,836,10,10.857,129.987,0.269,6.632,0.079,0.086
AUS,Oceania,Australia,2020-05-23,0.582,0.198,22.094,25,7114,15,10,102,1,0.571,275.862,0.388,3.955,0.039,0.022,GBR,Europe,United Kingdom,244886,1507,2319.286,35623,220,261,3590.329,22.094,34.004,522.277,3.225,3.827,JPN,Asia,Japan,16410,25,29.714,845,9,9.571,130.186,0.236,6.704,0.071,0.076
AUS,Oceania,Australia,2020-05-25,0.465,0.167,23.561,21,7126,12,8.286,102,0,0.429,276.328,0.321,3.955,0,0.017,GBR,Europe,United Kingdom,247841,1607,2112.857,36106,104,299.571,3633.653,23.561,30.977,529.358,1.525,4.392,JPN,Asia,Japan,16472,21,30.429,857,5,8.714,130.677,0.241,6.799,0.04,0.069
AUS,Oceania,Australia,2020-05-26,0.504,0.238,24.191,30,7139,13,9.571,103,1,0.429,276.832,0.371,3.994,0.039,0.017,GBR,Europe,United Kingdom,249491,1650,1913.429,36237,131,246.857,3657.844,24.191,28.053,531.279,1.921,3.619,JPN,Asia,Japan,16502,30,30.714,863,6,8.286,130.915,0.244,6.846,0.048,0.066
AUS,Oceania,Australia,2020-05-27,0.427,0.206,26.434,26,7150,11,9.857,103,0,0.429,277.258,0.382,3.994,0,0.017,GBR,Europe,United Kingdom,251294,1803,1784.286,36659,422,260.286,3684.278,26.434,26.16,537.466,6.187,3.816,JPN,Asia,Japan,16528,26,29.571,870,7,7.429,131.122,0.235,6.902,0.056,0.059
