date,vaccine
2022-01-09,77.19
2022-01-10,77.28
2022-01-11,77.35
2022-01-12,77.43
2022-01-13,77.51
2022-01-14,77.58
2022-01-15,77.62
2022-01-16,77.64
2022-01-17,77.69
2022-01-18,77.75
2022-01-19,77.81
2022-01-20,77.88
2022-01-21,77.94
2022-01-22,77.97
2022-01-23,77.98
2022-01-24,78.03
2022-01-25,78.09
2022-01-26,78.11
2022-01-27,78.18
2022-01-28,78.25
2022-01-29,78.29
2022-01-30,78.31
2022-01-31,78.37
2022-02-01,78.44
2022-02-02,78.5
2022-02-03,78.56
2022-02-04,78.62
2022-02-05,78.65
2022-02-06,78.67
2022-02-07,78.72
2022-02-08,78.77
2022-02-09,78.82
2022-02-10,78.87
2022-02-11,78.92
2022-02-12,78.95
2022-02-13,78.96
2022-02-14,79.01
2022-02-15,79.05
2022-02-16,79.08
2022-02-17,79.12
2022-02-18,79.16
2022-02-19,79.19
2022-02-20,79.2
2022-02-21,79.23
2022-02-22,79.27
2022-02-23,79.3
2022-02-24,79.34
2022-02-25,79.37
2022-02-26,79.39
2022-02-27,79.4
2022-02-28,79.43
2022-03-01,79.46
2022-03-02,79.48
2022-03-03,79.51
2022-03-04,79.55
2022-03-05,79.57
2022-03-06,79.59
2022-03-07,79.66
2022-03-08,79.76
2022-03-09,79.87
2022-03-10,79.98
2022-03-11,80.12
2022-03-12,80.26
2022-03-13,80.32
2022-03-14,80.44
2022-03-15,80.58
2022-03-16,80.73
2022-03-17,80.86
2022-03-18,81.02
2022-03-19,81.17
2022-03-20,81.25
2022-03-21,81.39
2022-03-22,81.51
2022-03-23,81.6
2022-03-24,81.71
2022-03-25,81.84
2022-03-26,81.96
2022-03-27,82.03
2022-03-28,82.13
2022-03-29,82.21
2022-03-30,82.28
2022-03-31,82.36
2022-04-01,82.44
2022-04-02,82.52
2022-04-03,82.56
2022-04-04,82.63
2022-04-05,82.68
2022-04-06,82.73
2022-04-07,82.78
2022-04-08,82.84
2022-04-09,82.88
2022-04-10,82.9
2022-04-11,82.97
2022-04-12,83.02
2022-04-13,83.07
2022-04-14,83.12
2022-04-15,83.12
2022-04-16,83.13
2022-04-17,83.14
2022-04-18,83.14
2022-04-19,83.19
2022-04-20,83.22
2022-04-21,83.26
2022-04-22,83.3
2022-04-23,83.33
2022-04-24,83.35
2022-04-25,83.35
2022-04-26,83.38
2022-04-27,83.4
2022-04-28,83.43
2022-04-29,83.45
2022-04-30,83.48
2022-05-01,83.48
2022-05-02,83.5
2022-05-03,83.52
2022-05-04,83.53
2022-05-05,83.55
2022-05-06,83.57
2022-05-07,83.58
2022-05-08,83.58
2022-05-09,83.6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
